"uuid","created_at","last_updated","title","description","translation_status","native_name","native_about","address","geolocation","main_photo_url","availability_type","inventory_supplier","duration","rating","number_of_reviews","is_free","price","order_webpage","hotel_pickup","is_active","is_itinerary_resource","is_curated","is_accessible","categories_list","external_id","external_city_name","additional_info_id","city_id","native_language","similarity_group_id","currency","is_city_processed","is_relevant_for_adult","is_relevant_for_child","is_relevant_for_infant"
"5a833cb6-2974-49a3-9142-eaee4a0ccad9",2022-03-24 17:25:07.242 +0200,2022-03-24 15:21:06.814 +0200,Männerschnupfen Comedy Dinner Show - Warum Männer mehr Leiden als Frauen,"<b>Männerschnupfen reloaded</b><br><br>Warum leiden Männer immer mehr als Frauen, wenn sie krank sind? <br>Dieser und anderen Fragen gehen wir in unserem Stück „Männerschnupfen“ nach. Denn Männerschnupfen ist ein Paradebeispiel für das vermeintliche Unverständnis zwischen Männlein und Weiblein. <br>Das Duo-Comedy-Kabarett „Männerschnupfen"" basiert auf dem gleichnamigen Buch von Peter Buchenau und Ina Lackerbauer (erschienen im Springer Verlag 2016). <br>Die Bühnenfassung bietet nicht nur sehr unterhaltsame, sondern auch informative Szenen sowie geistreiche und zuweilen doppeldeutige Dialoge mit viel Sinn für tiefgründige Feinheiten kreiert, die den anspruchsvollen Zuschauer ebenso amüsieren wie auch zum Nachdenken anregen.<br><br>Die beiden Hauptdarsteller ergänzen sich im Stück perfekt. <br>Peter Buchenau spielt den leidgeplagten Männerschnupfen-Patienten, der dem Publikum aus tiefster Überzeugung erklärt, dass die armen Männer bei einem Männerschnupfen wesentlich stärkere Schmerzen erlitten, als Frauen bei einer Geburt. Kein Wunder, dass Peter auch von seiner Bühnenpartnerin Gloria nicht wirklich viel Verständnis bekommt. Die bewegt ihn schließlich aber immerhin, doch eine Arztpraxis aufzusuchen. <br>So landet der arme Peter bei der militärisch unterkühlten und dominaten Ärztin, die ihm unzählige Medikamente verschreibt. Das ganze Stück gipfelt dann in dem absoluten Höhepunkt, dass Peter sämtliche Pillen auf einmal nimmt und nicht nur seiner eigenen Leber begegnet, sondern auch von der Sensenfrau zu Hause aufgesucht wird. <br>Am Ende bringt Peter Buchenau die Botschaft hinter „Männerschnupfen“ auf den Punkt: Letztendlich geht es auch bei „Männerschnupfen“ um Liebe und Anerkennung.",,,,"Restaurant P TWO, Dörpfeldstraße 58, BERLIN, DE, 12489",,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2018/maennerschnupfen-mit-peter-buchenau-tickets-2019-222x222.jpg,,Eventim,"02:00:00",,0,false,81.81,https://www.eventim.de/noapp/event/13149453/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{"""",""Culture""}'","13149453",BERLIN,,19912,,,,false,,,
"7155455a-b515-4a84-81bc-559fe79e5cdc",2022-03-24 17:24:44.691 +0200,2022-03-24 15:21:06.814 +0200,Hiatus Kaiyote,,,,,"HUXLEY'S NEUE WELT, Hasenheide 107 - 113, BERLIN, DE, 10967",,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2021/hiatus-kaiyote-tickets-2021.jpg,,Eventim,"02:00:00",,0,false,39.75,https://www.eventim.de/noapp/event/14474409/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{""Music""}'","14474409",BERLIN,,19912,,,,false,,,
e368707a-d9df-4d9d-a46c-45144afff578,2022-03-24 17:30:24.540 +0200,2022-03-24 15:21:06.814 +0200,Frederic Chopin - Naoko Fukumoto (Klavier),,,,,"Gobelinsaal im Bode-Museum, Am Kupfergraben 1, BERLIN, DE, 10178",,https://www.eventim.de/obj/media/DE-eventim/teaser/blank.gif,,Eventim,"02:00:00",,0,false,35.95,https://www.eventim.de/noapp/event/14075953/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{""Music""}'","14075953",BERLIN,,19912,,,,false,,,
"090a8473-dd34-414f-bca3-7c6a1347f0f8",2022-03-24 17:24:45.785 +0200,2022-03-24 15:21:06.814 +0200,Aesthetic Perfection + Special Guests: As Sirens Fall,"AESTHETIC PERFECTION ist ein zu 100% unabhängiges Industrial-Pop-Projekt, bestehend aus dem in Los Angeles geborenen Produzenten Daniel Graves und dem in New York City lebenden Drummer Joe Letz. In ihrer 20-jährigen Karriere, nach sechs Alben und zahlreichen Singles und Musikvideos, haben Graves und seine Crew den Dark-Electro neu erfunden, indem sie Industrial, Pop und alles, was dazwischen liegt, kombiniert haben.",,,,"FRANNZ Club, Schönhauser Allee 36, BERLIN, DE, 10435",,https://www.eventim.de/obj/mam/germany/4d/92/aesthetic-perfection-tickets_93044_866756_222x222.jpg,,Eventim,"02:00:00",,0,false,28.20,https://www.eventim.de/noapp/event/12763381/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{""Music""}'","12763381",BERLIN,,19912,,,,false,,,
"0ab06dab-cf2d-4ca5-b4da-3fed569404a7",2022-03-24 17:24:17.970 +0200,2022-03-24 15:21:06.814 +0200,Harald Martenstein - Alles im Griff auf dem sinkenden Schiff,"<b>Buchpremiere</b><br><br>Der vielfach preisgekrönte ZEIT Kolumnist Harald Martenstein ist einer der meistgelesenen Autoren Deutschlands. In seinen kurzen Texten wagt er sich immer wieder an die großen Themen der Gegenwart – subjektiv, überraschend, oft sehr witzig. Ob es um politische Korrekt- heit, um Migration, Feminismus oder um scheiternde Utopien geht: Martenstein hat keine Angst davor, sich unbeliebt zu machen und dem Mainstream zu widersprechen.<br><br>In seinem neuen Kolumnenband Jeder lügt so gut er kann (C.Bertelsmann ) geht es aber auch immer wieder um das private Scheitern und Alltagsprobleme, als Vater, als Berliner, als Mann oder Deutscher.<br>",,,,"Die Wühlmäuse am Theo, Pommernallee 2-4/Ecke Heerstraße, BERLIN, DE, 14052",,https://www.eventim.de/obj/mam/germany/dd/82/harald-martenstein-tickets_29522_246679_222x222.jpg,,Eventim,"02:00:00",,0,false,21.80,https://www.eventim.de/noapp/event/14525968/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{""Culture""}'","14525968",BERLIN,,19912,,,,false,,,
"24560607-84ee-4e29-b370-4407f94e4d9a",2022-03-24 17:24:28.974 +0200,2022-03-24 15:21:06.814 +0200,Frieda Braun - Sprechpause,"<b>Kult-Sauerländerin Frieda Braun: „Sprechpause“<br></b><br>Viele kennen Sie aus der WDR-Ladies Night sowie von den Tourneen mit Gerburg Jahnke: Frieda Braun hat inzwischen Fans in vielen Regionen Deutschlands. Jetzt stellt die schrullige Sauerländerin ihr Solo-Programm »Sprechpause« vor. “<br><br>Frieda und ihre »Splittergruppe« – insgesamt 11 gestandene Frauen – haben beschlossen, in diesem Jahr anstelle einer Städtetour sieben Tage in einer Herberge zu verbringen. Und zwar schweigend! “<br><br>Das Schweigeseminar, gedacht zur inneren Einkehr, erweist sich für Frieda allerdings als Nervenprobe. Schon das allzu gesunde Frühstück mit Ziegenkäse und rätselhafter „Saatmischung“ stößt auf Befremden. Als beim anschließenden Meditieren laute Magengeräusche die Stille zerreißen, ist es mit der Konzentration vorbei. “<br><br><u>Geplatzt: Theklas Rendezvous “</u><br><br>Friedas Freundin Thekla nutzt die Schweigewoche, um eine persönliche Enttäuschung zu verarbeiten: Während eines Konzerts des umschwärmten Stargeigers André Rieu hatte sie sich in einen fremden Mann aus dem Publikum verliebt.<br>Doch die zarten Bande werden jäh zerschnitten, als „Horst“ sich bei seiner Angebeteten in einen Sessel wirft, der sich unter dieser Belastungsprobe als minderwertiges Plagiat aus China erweist. “<br><br><u>Einkassiert: Wichberts Führerschein“<br></u><br>Während ihre Frauen sich dem Schweigen widmen, nutzen Erwin und die anderen zurückgebliebenen Ehemänner die freie Zeit, um ihren Hobbies nachzugehen. “<br><br>Wichbert, dem nach einem „Zweikomponenten-Fehler“ im Straßenverkehr der Führerschein entzogen wurde, ist getrieben von dem Wunsch, mehr Mobilität ins Haus zu bringen. Dabei vergreift er sich sogar an der Weihnachtskrippe. “<br><br><u>Erotisch: ein Abend bei Viola“<br></u><br>Viola, Friedas neue Nachbarin, nimmt den Erotik-Film „Fifty shades of grey“ zum Anlass, Frieda und ihre ahnungslosen Freundinnen mit einem heißen Abend zu überraschen. Eines ist den Frauen klar: „Unsere Männer dürfen nichts davon erfahren“. “<br><br>Dem Thema Erotik nähert sich Frieda auch im Programm Sprechpause mit der ihr eigenen, köstlichen Mischung aus Neugier, Verlegenheit und Entrüstung. “<br><u><br>Köstlicher Blick auf alltägliche Situationen“</u><br><br>Große Füße und verheerende Haarschnitte, klebende Magnetfeldsohlen und neugierige Staubsauger-Roboter, Männer in Leibwäsche-Geschäften und Frauen im Klammergriff geschickter Verkäuferinnen: Frieda Brauns Programm „Sprechpause“ ist ein unterhaltsamer und abwechslungsreicher Streifzug durch (nur manchmal überspitzte) Alltagssituationen. Köstlich!",,,,"Die Wühlmäuse am Theo, Pommernallee 2-4/Ecke Heerstraße, BERLIN, DE, 14052",,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2015/frieda-braun-tickets-2015.jpg,,Eventim,"02:00:00",,0,false,27.70,https://www.eventim.de/noapp/event/14844524/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{""Culture""}'","14844524",BERLIN,,19912,,,,false,,,
"2d0fe08a-19b6-4c19-924a-eef9baeceff6",2022-03-24 17:24:45.243 +0200,2022-03-24 15:21:06.814 +0200,"Margie Kinsky & Bill Mockridge - Hurra, wir lieben noch!","Margie und Bill entdecken – nicht ganz freiwillig nach Jahrzehnten mit einer turbulenten Familie – ihr neues gemeinsames Leben jenseits von Haushaltsroutine und Lindenstraße, aber diesseits von Kreuzworträtsel und Seniorenteller.",,,,"Die Wühlmäuse am Theo, Pommernallee 2-4/Ecke Heerstraße, BERLIN, DE, 14052",,https://www.eventim.de/obj/mam/germany/00/5f/margie-kinsky---bill-mockridge--hurra--wir-lieben-noch--tickets_22665_197916_222x222.jpg,,Eventim,"02:00:00",,0,false,27.70,https://www.eventim.de/noapp/event/14546105/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{""Culture""}'","14546105",BERLIN,,19912,,,,false,,,
"2df455c6-248d-45c6-ac80-6fd3e68c05e4",2022-03-24 17:24:17.435 +0200,2022-03-24 15:21:06.814 +0200,Plan B,,,,,"STRAHL. Probebühne Im Kulturhaus Schöneberg, Kyffhäuserstr. 23, BERLIN, DE, 10781",,https://www.eventim.de/obj/media/DE-eventim/teaser/blank.gif,,Eventim,"02:00:00",,0,false,20.25,https://www.eventim.de/noapp/event/15088362/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{""Culture""}'","15088362",BERLIN,,19912,,,,false,,,
"2e4e8070-6ab0-49d2-bdd5-97d425b3aa08",2022-03-24 17:24:43.437 +0200,2022-03-24 15:21:06.814 +0200,Veronika Fischer & Band - Konzerttournee zum 50-jährigen Bühnenjübiläum,,,,,"Passionskirche Kreuzberg, Marheinekeplatz 1-2, BERLIN, DE, 10961",,https://www.eventim.de/obj/media/DE-eventim/teaser/blank.gif,,Eventim,"02:00:00",,0,false,39.45,https://www.eventim.de/noapp/event/11992942/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{""Music""}'","11992942",BERLIN,,19912,,,,false,,,
"4034a2a6-db97-4aaa-9c23-11c34934886e",2022-03-24 17:24:19.098 +0200,2022-03-24 15:21:06.814 +0200,Adam Green,"<b>Adam Green<br>Die Perfektion des Dadaismus<br>Im Mai 2022 live in Deutschland</b><br><br>Nach den ursprünglich für Mai 2020 geplanten und zunächst auf Februar 2021 verschobenen Konzerten von Adam Green werden diese nun im Mai 2022 über die deutschen Bühnen gehen. Erlebt den Anti-Folk Star in Köln (19.05., Bürgerhaus Stollwerck), Frankfurt (21.05., Batschkapp), Stuttgart (22.05., Kulturquartier), München (23.05., Strom) und Berlin (24.05., Columbia Theater).<br><br>Adam Green beherrscht die Kunst des Dadaismus wie kein Zweiter. Das beweist der im Bundesstaat New York aufgewachsene Musiker auch auf seinem neuen Album „Engine of Paradise“, dass im September 2019 auf den Markt kam und sich klanglich an seinen Ursprüngen orientiert.<br><br>Unter den neun Songs finden sich neben knackig-kurzen Songs in typischer Adam Green-Manier auch Kollaborationen mit Musikern wie Florence Welch von Florence and the Machine oder James Richardson von MGMT. Bereits im Sommer 2019 erschienen mit „Freeze My Love“ sowie „Cheating On a Stranger“ zwei Singleauskopplungen und stillten den Durst nach neuer Musik des Multitalents.<br><br>Im selben Atemzug zur neuen Scheibe veröffentlicht Adam Green mit „War And Paradise“ eine Graphic Novel, in der es, wie es der Name schon erahnen lässt, um Greens Blick auf Gott und die Welt geht. Ein besseres Gegenstück zum Sound des Hutträgers gibt es nicht, zumindest nicht auf dieser Welt.<br><br>„Engine of Paradise“ reiht sich mit seinen neun Songs perfekt in die Riege der bisherigen Longplayer ein und lässt für die Fans keinerlei Wünsche offen. Schon mit „Gemstones“ setzte Adam Green 2005 den Grundstein für eine erfolgreiche Karriere auf deutschem Boden. Das Album schaffte es auf Platz vier der Charts und war dort über sechzehn Wochen vertreten. Ein Erfolg, den Adam Green kaum anderswo in diesem Ausmaß feierte.<br><br>Er ist der nette, etwas kauzige Typ von nebenan, der mit zerzaustem Haar und Schlafzimmerblick poetische Texte über die Arschkarten des Lebens schreibt. Kombiniert mit grotesken Happy-Day-Melodien sorgen seine zynischen Episoden voller Humor für helle Momente im grauen Alltag.<br><br>Adam Green nimmt seine Fans mit auf eine abenteuerliche Reise. So auch im Mai 2022: Erlebt den US-Songwriter mit der außergewöhnlichen Baritonstimme im Rahmen seiner fünf Shows in Köln, Frankfurt, Stuttgart, München und Berlin live in Deutschland.<br><br>",,,,"Columbia Theater, Columbiadamm 9-11, BERLIN, DE, 10965",,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2021/adam-green-tickets-2021.jpg,,Eventim,"02:00:00",,0,false,38.50,https://www.eventim.de/noapp/event/13757659/?affiliate=BGF&utm_source=BGF&utm_medium=dp&utm_campaign=bridgify,false,true,false,true,,"'{""Music""}'","13757659",BERLIN,,19912,,,,false,,,
